epoch	lr	loss_train	loss_test	err_test	
1	0.00100	0.10621	0.03959	0.03825	
2	0.00096	0.08175	0.03554	0.03609	
3	0.00092	0.07659	0.03553	0.03618	
4	0.00088	0.07371	0.03198	0.03410	
5	0.00085	0.07173	0.03133	0.03381	
6	0.00085	0.07017	0.03180	0.03409	
7	0.00082	0.06888	0.03103	0.03353	
8	0.00078	0.06790	0.03143	0.03383	
9	0.00075	0.06704	0.03003	0.03315	
10	0.00072	0.06635	0.03195	0.03430	
11	0.00072	0.06565	0.03082	0.03347	
12	0.00069	0.06505	0.02925	0.03256	
13	0.00066	0.06452	0.02923	0.03234	
14	0.00064	0.06406	0.02898	0.03234	
15	0.00061	0.06364	0.03039	0.03328	
16	0.00059	0.06322	0.03006	0.03268	
17	0.00059	0.06285	0.02945	0.03278	
18	0.00056	0.06247	0.02778	0.03158	
19	0.00054	0.06221	0.02932	0.03264	
20	0.00052	0.06189	0.02772	0.03171	
21	0.00050	0.06165	0.02900	0.03235	
22	0.00050	0.06132	0.02865	0.03201	
23	0.00048	0.06108	0.02789	0.03162	
24	0.00046	0.06084	0.02715	0.03116	
25	0.00044	0.06061	0.02749	0.03154	
26	0.00042	0.06041	0.02751	0.03141	
27	0.00041	0.06020	0.02842	0.03184	
28	0.00041	0.06000	0.02741	0.03125	
29	0.00039	0.05980	0.02782	0.03172	
30	0.00038	0.05962	0.02830	0.03218	
31	0.00036	0.05951	0.02745	0.03144	
32	0.00035	0.05930	0.02757	0.03150	
33	0.00035	0.05916	0.02742	0.03127	
34	0.00033	0.05900	0.02727	0.03115	
35	0.00032	0.05889	0.02827	0.03183	
36	0.00031	0.05873	0.02660	0.03081	
37	0.00029	0.05860	0.02716	0.03131	
38	0.00028	0.05851	0.02735	0.03131	
39	0.00028	0.05836	0.02678	0.03102	
40	0.00027	0.05827	0.02719	0.03113	
41	0.00026	0.05816	0.02708	0.03101	
42	0.00025	0.05806	0.02654	0.03057	
43	0.00024	0.05794	0.02911	0.03249	
44	0.00024	0.05783	0.02754	0.03135	
45	0.00023	0.05773	0.02796	0.03173	
46	0.00022	0.05762	0.02946	0.03265	
47	0.00021	0.05756	0.02718	0.03131	
48	0.00020	0.05749	0.02678	0.03089	
49	0.00020	0.05741	0.02888	0.03244	
50	0.00020	0.05730	0.02705	0.03098	
51	0.00019	0.05726	0.02777	0.03175	
52	0.00018	0.05716	0.02739	0.03137	
53	0.00017	0.05707	0.02733	0.03119	
54	0.00017	0.05703	0.02738	0.03131	
55	0.00017	0.05694	0.02809	0.03194	
56	0.00016	0.05690	0.02679	0.03105	
57	0.00015	0.05681	0.03003	0.03292	
58	0.00015	0.05675	0.02738	0.03142	
59	0.00014	0.05673	0.02698	0.03102	
60	0.00014	0.05667	0.02722	0.03122	
61	0.00014	0.05658	0.02668	0.03088	
62	0.00013	0.05656	0.02594	0.03034	
63	0.00012	0.05651	0.02711	0.03113	
64	0.00012	0.05647	0.02828	0.03199	
65	0.00011	0.05645	0.02706	0.03114	
66	0.00011	0.05635	0.02733	0.03142	
67	0.00011	0.05633	0.02642	0.03056	
68	0.00011	0.05627	0.02704	0.03105	
69	0.00010	0.05624	0.02645	0.03054	
70	0.00010	0.05623	0.02644	0.03082	
71	0.00010	0.05618	0.02582	0.03023	
72	0.00009	0.05614	0.02697	0.03112	
73	0.00009	0.05612	0.02628	0.03056	
74	0.00009	0.05609	0.02736	0.03130	
75	0.00008	0.05605	0.02555	0.03004	
76	0.00008	0.05605	0.02540	0.02998	
77	0.00008	0.05598	0.02678	0.03084	
78	0.00008	0.05595	0.02697	0.03101	
79	0.00007	0.05592	0.02632	0.03064	
