epoch	lr	loss_train	loss_test	err_test	
1	0.00100	0.12390	0.05073	0.04146	
2	0.00096	0.09470	0.04451	0.03882	
3	0.00092	0.08797	0.04411	0.03903	
4	0.00088	0.08421	0.04158	0.03741	
5	0.00085	0.08159	0.03936	0.03633	
6	0.00082	0.07958	0.04080	0.03693	
7	0.00082	0.07803	0.03940	0.03647	
8	0.00078	0.07679	0.04029	0.03699	
9	0.00075	0.07565	0.03880	0.03637	
10	0.00072	0.07472	0.03915	0.03644	
11	0.00069	0.07386	0.03677	0.03548	
12	0.00066	0.07316	0.04313	0.03861	
13	0.00066	0.07241	0.03874	0.03606	
14	0.00064	0.07181	0.03616	0.03477	
15	0.00061	0.07123	0.03767	0.03576	
16	0.00059	0.07078	0.04220	0.03892	
17	0.00056	0.07030	0.03524	0.03412	
18	0.00054	0.06981	0.03659	0.03510	
19	0.00054	0.06940	0.03513	0.03433	
20	0.00052	0.06894	0.03688	0.03555	
21	0.00050	0.06861	0.03730	0.03533	
22	0.00048	0.06826	0.03477	0.03418	
23	0.00046	0.06791	0.03731	0.03564	
24	0.00044	0.06760	0.03660	0.03559	
25	0.00044	0.06730	0.03623	0.03529	
26	0.00042	0.06699	0.03411	0.03390	
27	0.00041	0.06669	0.03800	0.03632	
28	0.00039	0.06649	0.03375	0.03343	
29	0.00038	0.06616	0.03610	0.03480	
30	0.00036	0.06597	0.03695	0.03502	
31	0.00036	0.06568	0.03391	0.03363	
32	0.00035	0.06547	0.03363	0.03357	
33	0.00033	0.06525	0.03677	0.03558	
34	0.00032	0.06507	0.03694	0.03553	
35	0.00031	0.06487	0.03549	0.03474	
36	0.00029	0.06468	0.03298	0.03295	
37	0.00029	0.06452	0.03850	0.03632	
38	0.00028	0.06430	0.03502	0.03440	
39	0.00027	0.06415	0.03533	0.03464	
40	0.00026	0.06406	0.03321	0.03322	
41	0.00025	0.06389	0.03451	0.03435	
42	0.00024	0.06372	0.03476	0.03413	
43	0.00024	0.06362	0.03432	0.03379	
44	0.00023	0.06348	0.03378	0.03400	
45	0.00022	0.06334	0.03385	0.03364	
46	0.00021	0.06319	0.03454	0.03426	
47	0.00020	0.06312	0.03611	0.03494	
48	0.00020	0.06300	0.03507	0.03460	
49	0.00020	0.06291	0.03466	0.03434	
50	0.00019	0.06279	0.03413	0.03401	
51	0.00018	0.06271	0.03445	0.03395	
52	0.00017	0.06262	0.03575	0.03466	
53	0.00017	0.06255	0.03304	0.03307	
54	0.00016	0.06242	0.03460	0.03400	
55	0.00016	0.06232	0.03372	0.03368	
56	0.00015	0.06225	0.03529	0.03414	
57	0.00015	0.06215	0.03427	0.03384	
58	0.00014	0.06213	0.03274	0.03301	
59	0.00014	0.06202	0.03673	0.03532	
60	0.00013	0.06198	0.03305	0.03320	
61	0.00013	0.06186	0.03539	0.03459	
62	0.00012	0.06184	0.03202	0.03248	
63	0.00012	0.06175	0.03560	0.03468	
64	0.00011	0.06174	0.03361	0.03368	
65	0.00011	0.06164	0.03251	0.03281	
66	0.00011	0.06158	0.03413	0.03401	
67	0.00011	0.06151	0.03350	0.03349	
68	0.00010	0.06146	0.03866	0.03614	
69	0.00010	0.06143	0.03295	0.03317	
70	0.00009	0.06135	0.03314	0.03334	
71	0.00009	0.06132	0.03327	0.03323	
72	0.00009	0.06129	0.03378	0.03367	
73	0.00009	0.06121	0.03305	0.03292	
74	0.00008	0.06116	0.03402	0.03380	
75	0.00008	0.06114	0.03513	0.03453	
76	0.00008	0.06111	0.03605	0.03513	
77	0.00007	0.06110	0.03340	0.03366	
78	0.00007	0.06108	0.03490	0.03452	
79	0.00007	0.06103	0.03391	0.03385	
80	0.00007	0.06095	0.03229	0.03292	
81	0.00006	0.06093	0.03929	0.03701	
82	0.00006	0.06088	0.03354	0.03378	
83	0.00006	0.06088	0.03719	0.03585	
84	0.00006	0.06085	0.03284	0.03343	
85	0.00006	0.06082	0.03302	0.03339	
86	0.00006	0.06082	0.03452	0.03397	
87	0.00005	0.06075	0.24439	0.09907	
88	0.00005	0.06072	0.03312	0.03328	
89	0.00005	0.06069	0.03497	0.03443	
90	0.00005	0.06065	0.03357	0.03328	
91	0.00005	0.06069	0.03498	0.03400	
92	0.00004	0.06064	0.03583	0.03488	
93	0.00004	0.06065	0.03432	0.03376	
94	0.00004	0.06064	0.03408	0.03385	
95	0.00004	0.06062	0.03570	0.03480	
96	0.00004	0.06059	0.03276	0.03289	
97	0.00004	0.06057	0.03404	0.03370	
98	0.00004	0.06054	0.03528	0.03431	
99	0.00004	0.06049	0.03425	0.03421	
100	0.00003	0.06048	0.03418	0.03363	
101	0.00003	0.06048	0.03474	0.03392	
102	0.00003	0.06044	0.03618	0.03507	
103	0.00003	0.06045	0.03277	0.03272	
104	0.00003	0.06043	0.03417	0.03412	
105	0.00003	0.06034	0.03381	0.03413	
106	0.00003	0.06039	0.03362	0.03333	
107	0.00003	0.06038	0.03409	0.03360	
108	0.00003	0.06039	0.03245	0.03280	
109	0.00003	0.06035	0.03465	0.03440	
110	0.00002	0.06036	0.03273	0.03314	
111	0.00002	0.06033	0.03404	0.03365	
112	0.00002	0.06033	0.03526	0.03537	
113	0.00002	0.06033	0.03159	0.03204	
114	0.00002	0.06027	0.16976	0.07986	
115	0.00002	0.06029	0.03387	0.03380	
116	0.00002	0.06030	0.03301	0.03288	
117	0.00002	0.06024	0.03170	0.03237	
118	0.00002	0.06021	0.03562	0.03495	
119	0.00002	0.06026	0.14181	0.07469	
120	0.00002	0.06021	0.03252	0.03286	
121	0.00002	0.06024	0.03392	0.03360	
122	0.00002	0.06021	0.03551	0.03431	
123	0.00002	0.06023	0.03414	0.03439	
124	0.00001	0.06022	0.03403	0.03384	
125	0.00001	0.06019	0.03327	0.03323	
