epoch	lr	loss_train	loss_test	err_test	
1	0.00100	0.13177	4.79170	0.31845	
2	0.00096	0.10039	4.62492	0.30862	
3	0.00092	0.09294	4.66360	0.29108	
4	0.00088	0.08876	4.07043	0.28559	
5	0.00085	0.08588	6.50397	0.27965	
6	0.00082	0.08373	6.75188	0.28139	
7	0.00082	0.08191	7.36474	0.28708	
8	0.00078	0.08046	6.30377	0.29173	
9	0.00075	0.07921	7.67121	0.26706	
10	0.00072	0.07816	7.81113	0.28400	
11	0.00069	0.07721	1.61826	0.49362	
12	0.00066	0.07644	7.20196	0.27527	
13	0.00066	0.07559	9.53012	0.26097	
14	0.00064	0.07494	10.13340	0.26796	
15	0.00061	0.07434	10.03858	0.27278	
16	0.00059	0.07376	9.49024	0.26675	
17	0.00056	0.07322	5.63245	0.30392	
18	0.00054	0.07273	10.08226	0.25515	
19	0.00054	0.07225	11.46256	0.26196	
20	0.00052	0.07184	11.95401	0.25606	
21	0.00050	0.07144	14.28195	0.26392	
22	0.00048	0.07111	12.17056	0.26086	
23	0.00046	0.07069	12.86448	0.26462	
24	0.00044	0.07040	13.02023	0.25552	
25	0.00044	0.07005	11.47979	0.26532	
26	0.00042	0.06975	12.28619	0.26941	
27	0.00041	0.06941	14.01009	0.25803	
28	0.00039	0.06916	13.56698	0.25416	
29	0.00038	0.06889	13.26037	0.27237	
30	0.00036	0.06866	14.60927	0.25573	
31	0.00036	0.06836	13.63933	0.24803	
32	0.00035	0.06817	13.45988	0.26158	
33	0.00033	0.06797	15.63641	0.25626	
34	0.00032	0.06774	14.16138	0.26015	
35	0.00031	0.06752	15.12592	0.25858	
36	0.00029	0.06735	12.80686	0.25253	
37	0.00029	0.06718	12.05312	0.27366	
38	0.00028	0.06703	17.89168	0.26551	
39	0.00027	0.06681	15.53807	0.25019	
40	0.00026	0.06673	15.65443	0.25345	
41	0.00025	0.06652	16.28928	0.25626	
42	0.00024	0.06639	15.47556	0.25590	
43	0.00024	0.06624	17.01839	0.25050	
44	0.00023	0.06610	14.61911	0.26302	
45	0.00022	0.06597	17.27339	0.25540	
46	0.00021	0.06583	17.94718	0.25147	
47	0.00020	0.06578	16.04817	0.25911	
48	0.00020	0.06567	17.26242	0.25539	
49	0.00020	0.06552	14.52645	0.26801	
50	0.00019	0.06544	16.91002	0.25460	
51	0.00018	0.06526	15.74548	0.28557	
52	0.00017	0.06519	17.23671	0.25329	
53	0.00017	0.06513	17.57964	0.26013	
54	0.00016	0.06502	17.38745	0.24432	
55	0.00016	0.06494	17.15552	0.25043	
56	0.00015	0.06481	16.74314	0.26519	
57	0.00015	0.06473	20.17636	0.25324	
58	0.00014	0.06467	18.40964	0.25806	
59	0.00014	0.06462	17.93769	0.26808	
